State,Constituency,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Pct of Votes
Andhra Pradesh,Palasa,1,APPALARAJU SEEDIRI,YSRCP,31249,0,31249,51.11
Andhra Pradesh,Palasa,2,KORRAYI BALAKRISHNA,BJP,618,0,618,1.01
Andhra Pradesh,Palasa,3,GOUTHU SIREESHA,TDP,24548,0,24548,40.15
Andhra Pradesh,Palasa,4,MAJJI SARADA,INC,467,0,467,0.76
Andhra Pradesh,Palasa,5,KAMESWARA RAO POTHANAPALLI,CPI(ML)(L),202,0,202,0.33
Andhra Pradesh,Palasa,6,KOTHA PURNACHANDRA RAO,JnP,2313,0,2313,3.78
Andhra Pradesh,Palasa,7,DUNNA VASUDEVU,IND,241,0,241,0.39
Andhra Pradesh,Palasa,8,MANOJ NALANAGULA,IND,156,0,156,0.26
Andhra Pradesh,Palasa,9,MAMIDI PRASAD,IND,148,0,148,0.24
Andhra Pradesh,Palasa,10,NOTA,NOTA,1203,0,1203,1.97
Andhra Pradesh,Rajam (SC),1,KAMBALA JOGULU,YSRCP,35066,0,35066,53.61
Andhra Pradesh,Rajam (SC),2,KAMBALA RAJAVARDHANA,INC,916,0,916,1.4
Andhra Pradesh,Rajam (SC),3,KONDRU MURALI MOHAN,TDP,25540,0,25540,39.04
Andhra Pradesh,Rajam (SC),4,CHAITANYA KUMAR MANNENA,BJP,355,0,355,0.54
Andhra Pradesh,Rajam (SC),5,MANNENA RAMESH,PRSHP,202,0,202,0.31
Andhra Pradesh,Rajam (SC),6,MUTCHA SRINIVASA RAO,JnP,1726,0,1726,2.64
Andhra Pradesh,Rajam (SC),7,NOTA,NOTA,1607,0,1607,2.46
Andhra Pradesh,Palakonda  (ST),1,JAYAKRISHNA NIMMAKA,TDP,30665,0,30665,38.64
Andhra Pradesh,Palakonda  (ST),2,VISWASARAYI KALAVATHI,YSRCP,41701,0,41701,52.55
Andhra Pradesh,Palakonda  (ST),3,DVG SANKARA RAO,CPI,2081,0,2081,2.62
Andhra Pradesh,Palakonda  (ST),4,SUNEETHA THADANGI,BJP,720,0,720,0.91
Andhra Pradesh,Palakonda  (ST),5,H. PRASAD RAO,INC,672,0,672,0.85
Andhra Pradesh,Palakonda  (ST),6,ARIKA KRISHNA RAO,IND,601,0,601,0.76
Andhra Pradesh,Palakonda  (ST),7,GANGAMMA SAVARA,IND,486,0,486,0.61
Andhra Pradesh,Palakonda  (ST),8,NOTA,NOTA,2430,0,2430,3.06
Andhra Pradesh,Kurupam,1,AVINASH KUMAR KOLAKA,CPM,5228,0,5228,8.04
Andhra Pradesh,Kurupam,2,NIMMAKA. JAYARAJU.,BJP,1564,0,1564,2.41
Andhra Pradesh,Kurupam,3,NIMMAKA SIMHACHALAM,INC,1323,0,1323,2.04
Andhra Pradesh,Kurupam,4,PUSHPASREEVANI . PAMULA,YSRCP,37049,0,37049,57
Andhra Pradesh,Kurupam,5,VEERA VARA THODRAMAL NARA SIMHA PRIYA THATRAJ,TDP,16324,0,16324,25.11
Andhra Pradesh,Kurupam,6,NIMMAKA VASUDEVARAO,IND,739,0,739,1.14
Andhra Pradesh,Kurupam,7,NOTA,NOTA,2773,0,2773,4.27
Andhra Pradesh,Parvathipuram,1,ALAJANGI JOGARAO,YSRCP,73626,0,73626,53.57
Andhra Pradesh,Parvathipuram,2,Bobbili Chiranjeevulu,TDP,49812,0,49812,36.24
Andhra Pradesh,Parvathipuram,3,RAMUDU HARIYALA,INC,1952,0,1952,1.42
Andhra Pradesh,Parvathipuram,4,SURAGALA UMA MAHESWARA RAO,BJP,942,0,942,0.69
Andhra Pradesh,Parvathipuram,5,GONGADA GOWRI SANKARA RAO,JnP,6474,0,6474,4.71
Andhra Pradesh,Parvathipuram,6,JAYARATNA KUMAR SAILA,IND,705,0,705,0.51
Andhra Pradesh,Parvathipuram,7,HARIYALA PRAMEELA,IND,457,0,457,0.33
Andhra Pradesh,Parvathipuram,8,NOTA,NOTA,3483,0,3483,2.53
Andhra Pradesh,Tekkali,1,ATCHANNAIDU KINJARAPU,TDP,40951,0,40951,44.04
Andhra Pradesh,Tekkali,2,Chintada Dileep Kumar,INC,796,0,796,0.86
Andhra Pradesh,Tekkali,3,PERADA TILAK,YSRCP,46702,0,46702,50.22
Andhra Pradesh,Tekkali,4,HANUMANTHU UDAY BHASKAR,BJP,422,0,422,0.45
Andhra Pradesh,Tekkali,5,Kaniti Kiran Kumar,JnP,1681,0,1681,1.81
Andhra Pradesh,Tekkali,6,Chandrasekhara Patnaik,AIFB,128,0,128,0.14
Andhra Pradesh,Tekkali,7,Gutla Kanchana,IND,348,0,348,0.37
Andhra Pradesh,Tekkali,8,Ramu Geddevalasa,IND,335,0,335,0.36
Andhra Pradesh,Tekkali,9,NOTA,NOTA,1631,0,1631,1.75
Andhra Pradesh,Cheepurupalle,1,ADINARAYANA JAMMU,INC,2550,0,2550,2.71
Andhra Pradesh,Cheepurupalle,2,NAGARJUNA KIMIDI,TDP,34947,0,34947,37.15
Andhra Pradesh,Cheepurupalle,3,BOTCHA SATYANARAYANA,YSRCP,51053,0,51053,54.27
Andhra Pradesh,Cheepurupalle,4,SHANKAR LAL SHARMA DHANDU,BJP,664,0,664,0.71
Andhra Pradesh,Cheepurupalle,5,AMARA SREEDEVI,PPOI,106,0,106,0.11
Andhra Pradesh,Cheepurupalle,6,MYLIPILLI SRINIVASA RAO,JnP,2353,0,2353,2.5
Andhra Pradesh,Cheepurupalle,7,LANDA RAJA BABU,IPBP,336,0,336,0.36
Andhra Pradesh,Cheepurupalle,8,VENKATARAO DARIMIREDDI,JAJGP,232,0,232,0.25
Andhra Pradesh,Cheepurupalle,9,NOTA,NOTA,1828,0,1828,1.94
Andhra Pradesh,Gajapathinagaram,1,APPALANARASAYYA BOTCHA,YSRCP,67977,0,67977,54.43
Andhra Pradesh,Gajapathinagaram,2,APPALA NAIDU KONDAPALLI,TDP,47318,0,47318,37.89
Andhra Pradesh,Gajapathinagaram,3,JAGAN MOHAN RAO PEDDINTI,BJP,973,0,973,0.78
Andhra Pradesh,Gajapathinagaram,4,BOBBILI SRINU,INC,946,0,946,0.76
