State,Constituency,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Pct of Votes
Andhra Pradesh,Ichchapuram,1,ASHOK BENDALAM,Telugu Desam,79183,0,79183,46.56
Andhra Pradesh,Ichchapuram,2,ESWARA RAO KOLLI,Indian National Congress,2095,0,2095,1.23
Andhra Pradesh,Ichchapuram,3,JANNALA SURYAVARA PRASADA RAO,Bharatiya Janata Party,1651,0,1651,0.97
Andhra Pradesh,Ichchapuram,4,PIRIYA SAIRAJ,Yuvajana Sramika Rythu Congress Party,71752,0,71752,42.19
Andhra Pradesh,Ichchapuram,5,DASARI RAJU,Janasena Party,10918,0,10918,6.42
Andhra Pradesh,Ichchapuram,6,GANAPA VANAJAKSHI,Independent,610,0,610,0.36
Andhra Pradesh,Ichchapuram,7,NOTA,None of the Above,3861,0,3861,2.27
Andhra Pradesh,Amadalavalasa,1,KOONA RAVIKUMAR,Telugu Desam,63274,0,63274,42.72
Andhra Pradesh,Amadalavalasa,2,GADDAYYA PATINI,Bharatiya Janata Party,854,0,854,0.58
Andhra Pradesh,Amadalavalasa,3,THAMMINENI SEETHARAM,Yuvajana Sramika Rythu Congress Party,76801,0,76801,51.85
Andhra Pradesh,Amadalavalasa,4,BODDEPALLI SATYAVATHI,Indian National Congress,969,0,969,0.65
Andhra Pradesh,Amadalavalasa,5,PEDADA RAMAMOHANA RAO,Janasena Party,3193,0,3193,2.16
Andhra Pradesh,Amadalavalasa,6,SATEESHKUMAR TULUGU,Independent,380,0,380,0.26
Andhra Pradesh,Amadalavalasa,7,NOTA,None of the Above,2651,0,2651,1.79
Andhra Pradesh,Palakonda  (ST),1,JAYAKRISHNA NIMMAKA,Telugu Desam,53622,452,54074,39.55
Andhra Pradesh,Palakonda  (ST),2,VISWASARAYI KALAVATHI,Yuvajana Sramika Rythu Congress Party,70778,1276,72054,52.7
Andhra Pradesh,Palakonda  (ST),3,DVG SANKARA RAO,Communist Party of India,3283,60,3343,2.45
Andhra Pradesh,Palakonda  (ST),4,SUNEETHA THADANGI,Bharatiya Janata Party,1121,48,1169,0.86
Andhra Pradesh,Palakonda  (ST),5,H. PRASAD RAO,Indian National Congress,994,7,1001,0.73
